PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMVG Sem Impostos,PMVG 0%,PMVG 12%,PMVG 17%,PMVG 17% ALC,"PMVG 17,5%","PMVG 17,5% ALC",PMVG 18%,PMVG 18% ALC,RESTRIÇÃO HOSPITALAR,PMVG 20%,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Column1,_1,_2,_3,_4,_5,_6,_7,_8
CLORETO DE SÓDIO USP;CLORETO DE POTÁSSIO;CLORETO DE CÁLCIO DIIDRATADO,58.635.830/0001-75,FARMARIN INDUSTRIA E COMERCIO LTDA,508620090011507,1168800370016,7898179364084,    -,    -,RINGER,"(8,6 + 0,3 + 0,33) MG/ML SOL INFUS IV CX FR PLAS TRANS SIST FECH X 500 ML",K1A7 - SOLUÇÕES DE RINGER E RINGER LACTATO,Específico,Regulado,606,606,689,730,730,735,735,739,739,758,476,476,541,573,573,577,577,580,580,Sim,595,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORETO DE SÓDIO;GLICOSE MONOIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508030504152411,1004310490071,7898919447657,    -,    -,GLICOSE + CLORETO DE SÓDIO,50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH  X 500 ML   ,K1B2 - SOLUÇÕES DE CLORETO SÓDIO COM CARBOHIDRATO,Específico,Regulado,641,641,728,772,772,777,777,782,782,801,503,503,571,606,606,610,610,614,614,Sim,628,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORETO DE SUXAMETÔNIO,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533010201155414,1049702060036,7896006288404,    -,    -,SUCCINIL COLIN,100 MG PO SOL INJ CT FA VD TRANS,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Similar,Regulado,1763,1763,2003,2124,2124,2137,2137,2150,2150,2204,1383,1383,1572,1667,1667,1677,1677,1687,1687,Sim,1730,Não,Não,Não,,Positiva,Sim,Tarja Vermelha (*),"","","","","","","","",""
CLORETO DE TRÓSPIO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501620100030607,1011806310015,7896637031066,    -,    -,SPASMEX,15 MG COM REV CT BL AL PLAS PVC OPC X 15,G4D4 - PRODUTOS PARA INCONTINÊNCIA URINÁRIA,Novo,Regulado,680,762,881,942,820,948,825,955,830,983,534,598,691,739,643,744,647,749,651,Não,771,Não,Não,Não,-7,Negativa,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORETO FÉRRICO;IODETO DE POTÁSSIO;MOLIBDATO DE SÓDIO DIIDRATADO;CLORETO DE ZINCO;CLORETO CRÔMICO HEXAIDRATADO;SELENITO DE SÓDIO;CLORETO CÚPRICO;DICLORETO DE MANGANÊS TETRAIDRATADO;FLUORETO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509520120028007,1004101650017,7899498608040,    -,    -,ADDAVEN,SOL DIL INFUS CX 20 AMP PLAS TRANS X 10 ML,A12C2 - OUTROS SUPLEMENTOS MINERAIS,Específico,Regulado,32049,32049,36419,38613,38613,38847,38847,39084,39084,40061,25149,25149,28578,30300,30300,30483,30483,30669,30669,Sim,31436,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526517080091217,1006811390033,7896261020801,    -,    -,ZOFRAN,2 MG/ML SOL INJ CT 5 AMP PLAS X 2 ML ,"A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA",Novo,Regulado,25066,25066,28484,30200,30200,30383,30383,30568,30568,31333,19669,19669,22351,23698,23698,23842,23842,23987,23987,Sim,24587,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE ALECTINIBE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529219040027601,1010006680014,7613326002486,    -,    -,ALECENSA,150 MG CAP DURA CT BL AL AL X 224,L1H - INIBIDORES DE PROTEINA QUINASE,Novo,Regulado,2040534,2285399,2640980,2824132,2458475,2843857,2473375,2863859,2488457,2946773,1601207,1793353,2072377,2216096,1929165,2231575,1940857,2247270,1952692,Não,2312333,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE ALFENTANILA MONOIDRATADA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506700201158413,1029801320015,7896676408256,    -,    -,ALFAST,"0,544 MG/ML SOL INJ CX  10 AMP VD TRANS X 5 ML",N1A2 - ANESTÉSICOS GERAIS INJETÁVEIS,Similar,Regulado,33065,33065,37574,39837,39837,40079,40079,40323,40323,41331,25946,25946,29484,31260,31260,31450,31450,31641,31641,Sim,32432,Não,Não,Não,,Positiva,Sim,Tarja  Preta,"","","","","","","","",""
CLORIDRATO DE ALFUZOSINA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720090086817,1832604370010,7897595903150,    -,    -,XATRAL OD,10 MG COM CAM TRP LP CT BL AL PLAS TRANS X 30,G4C2 - BPH ANTAGONISTAS ALFA-ADRENÉRGICOS PUROS,Novo,Regulado,18774,18774,21334,22619,22619,22756,22756,22895,22895,23468,14732,14732,16741,17749,17749,17857,17857,17966,17966,Não,18415,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE ALIZAPRIDA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720030059917,1832603720018,7897595902115,    -,    -,SUPERAN,25 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML,A3F - GASTROPROCINÉTICOS,Novo,Regulado,3586,3586,4075,4320,4320,4347,4347,4373,4373,4483,2814,2814,3198,3390,3390,3411,3411,3431,3431,Não,3518,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE AMANTADINA,14.806.008/0001-54,MOMENTA FARMACÊUTICA LTDA.,543518010008317,1942700710017,7899640807222,    -,    -,MANTIDAN,100 MG COM CT BL AL PLAS PVC TRANS X 20,N4A - ANTIPARKINSONIANOS,Novo,Regulado,1227,1227,,,,,,,,,963,963,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha (*),"","","","","","","","",""
CLORIDRATO DE AMBROXOL,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504913100008704,1003800480074,7898100243150,    -,    -,AMBROL,30 MG/5 ML XPE CT FR PLAS AMB X 100 ML + COP,R5C - EXPECTORANTES,Similar,Liberado,1482,1660,1918,2051,1786,2066,1797,2080,1807,2140,1163,1303,1505,1609,1401,1621,1410,1632,1418,Não,1679,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
CLORIDRATO DE AMILORIDA;CLORTALIDONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508006402116411,1004309810017,7891317000288,    -,    -,DIUPRESS,"(25,0 + 5,0) MG COM CT BL AL PLAS LARANJA X 20",C3A5 - AGENTES DIURÉTICOS POUPADORES DE POTÁSSIO ASSOCIADOS COM TIAZIDAS E/OU ANÁLOGOS,Novo,Regulado,1458,1458,1657,1757,1757,1767,1767,1778,1778,1823,1144,1144,1300,1379,1379,1387,1387,1395,1395,Não,1431,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE AMILORIDA;HIDROCLOROTIAZIDA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525504601110314,1002901370012,7897337702270,    -,    -,MODURETIC,"25 MG + 2,5 MG COM CT BL AL PLAS TRANS X 30 ",C3A5 - AGENTES DIURÉTICOS POUPADORES DE POTÁSSIO ASSOCIADOS COM TIAZIDAS E/OU ANÁLOGOS,Novo,Regulado,901,901,1024,1086,1086,1092,1092,1099,1099,1126,707,707,804,852,852,857,857,862,862,Não,884,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE AMINOLEVULINATO DE METILA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510101901177315,1291600650016,7897930761193,    -,    -,METVIX,160 MG/G CREME CT  BG AL X 2 G,L1X8 - FOTOSSENSIBILIZADORES PARA O TRATAMENTO DE CANCÊR,Novo,Regulado,121359,121359,137908,146216,146216,147102,147102,147999,147999,151699,95230,95230,108216,114736,114736,115431,115431,116135,116135,Sim,119038,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE AMIODARONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523700202111413,1003300010057,7896094200081,    -,    -,ANCORON,200 MG COM REV CT BL AL AL X 20,C1B - ANTIARRÍTMICOS CARDÍACOS,Similar,Regulado,2191,2191,2490,2640,2640,2656,2656,2672,2672,2739,1719,1719,1954,2072,2072,2084,2084,2097,2097,Não,2149,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE AMITRIPTILINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508002901118115,1004308960015,7891317408060,    -,    -,CLORIDRATO DE AMITRIPTILINA,25 MG COM REV CT BL AL PLAS TRANS X 20 ,N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS,Genérico,Regulado,1105,1105,1256,1331,1331,1339,1339,1348,1348,1381,867,867,986,1044,1044,1051,1051,1058,1058,Não,1084,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE AMOROLFINA,57.507.378/0003-65,EMS S/A,541820050128007,1023512850024,7896004748238,    -,    -,DERMOCERYL,"50 MG/ML ESM CT FR VD AMB X 2,5 ML + (10 ESP + 30 COMPRESS + 30 LIXAS)",D1A1 - ANTIFÚNGICOS DERMATOLÓGICOS TÓPICOS,Similar,Liberado,8433,9445,10915,11671,10160,11753,10222,11836,10284,12178,6617,7411,8565,9158,7973,9223,8021,9288,8070,Não,9556,Não,Não,Não,,Negativa,Não,Tarja -(*),"","","","","","","","",""
CLORIDRATO DE AMOROLFINA;AMOROLFINA,00.317.372/0001-46,GALDERMA BRASIL LTDA,510119010006103,1291600360107,7897930776722,    -,    -,LOCERYL,"50 MG/ML ESMALTE CT FR VD AMB X 2,5 ML + (APLIC + 30 COMPRESS + 30 LIXAS)",D1A1 - ANTIFÚNGICOS DERMATOLÓGICOS TÓPICOS,Novo,Liberado,7491,8390,9695,10368,9025,10440,9080,10514,9135,10818,5878,6584,7608,8136,7082,8192,7125,8250,7168,Não,8489,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
CLORIDRATO DE ANAGRELIDA,57.507.378/0003-65,EMS S/A,541820040125907,1023513250012,7896004752303,    -,    -,MONBOC,"0,5 MG CAP DURA CT FR PLAS PEAD OPC X 100","B1C4 - INIBIDORES DA AGREGAÇÃO PLAQUETÁRIA, REALÇADORES DO AMP CÍCLICO",Similar,Regulado,234233,234233,266174,282208,282208,283919,283919,285650,285650,292791,183803,183803,208867,221449,221449,222791,222791,224150,224150,Não,229753,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE AZELASTINA,57.507.378/0003-65,EMS S/A,507706901176117,1023505250017,7896004703985,    -,    -,CLORIDRATO DE AZELASTINA,1 MG/ML SOL NAS CT FR SPR PLAS AMB  X 10 ML,R1A6 - AGENTES ANTIALÉRGICOS NASAIS,Genérico,Liberado,1833,2053,2372,2537,2208,2555,2222,2573,2235,2647,1438,1611,1861,1991,1733,2005,1744,2019,1754,Não,2077,Não,Não,Não,,Negativa,Não,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
CLORIDRATO DE BAMBUTEROL,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502300601131310,1161800700078,7896206402402,    -,    -,BAMBEC,1 MG/ML SOL OR CT FR PLAST OPC X 100 ML,R3A2 - ANTIASMÁTICOS/DPOC AGONISTAS B2 SISTÊMICOS,Novo,Regulado,2568,2568,2918,3094,3094,3113,3113,3132,3132,3210,2015,2015,2290,2428,2428,2443,2443,2458,2458,Não,2519,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE BAMIFILINA,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508500701110418,1005800550066,7896672201875,    -,    -,BAMIFIX,300 MG COM REV CT BL AL PLAS TRANS X 20,R3B2 - ANTIASMÁTICOS/DPOC XANTÍNICOS SISTÊMICOS,Similar,Regulado,2162,2162,2457,2605,2605,2621,2621,2637,2637,2703,1697,1697,1928,2044,2044,2057,2057,2069,2069,Não,2121,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BENAZEPRIL,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504120070069307,1097402930019,7896112402480,    -,    -,BHENA,5 MG COM REV BL AL AL X 30,C9A - INIBIDORES DA ECA PUROS,Similar,Regulado,4532,4532,5150,5460,5460,5493,5493,5527,5527,5665,3556,3556,4041,4284,4284,4310,4310,4337,4337,Não,4445,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BENAZEPRIL;BESILATO DE ANLODIPINO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504116120056803,1097401450013,7896112432319,    -,    -,PRESS PLUS,"2,5 MG + 10 MG CAP DURA CT BL AL PLAS TRANS X 20",C9B3 - INIBIDORES DA ECA ASSOCIADOS A ANTAGONISTAS DO CÁLCIO (C8),Similar,Regulado,2487,2487,2826,2996,2996,3015,3015,3033,3033,3109,1952,1952,2218,2351,2351,2366,2366,2380,2380,Não,2440,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE BENSERAZIDA;LEVODOPA,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529204102111318,1010000640066,7896226500515,    -,    -,PROLOPA,(200 + 50) MG COM CT FR VD AMB X 30,N4A - ANTIPARKINSONIANOS,Novo,Regulado,6207,6207,,,,,,,,,4871,4871,,,,,,,,Não,,Não,Sim,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BENZIDAMINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508000604116413,1004309060018,7891317007256,    -,    -,ANGINO RUB,3 MG PAST SBR MEL E LIMÃO CT STR AL X 16,R2A - PREPARAÇÕES PARA GARGANTA,Similar,Liberado,937,1050,1213,1298,1130,1307,1136,1316,1143,1354,735,824,952,1019,887,1026,891,1033,897,Não,1063,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
CLORIDRATO DE BESIFLOXACINO,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503101301134315,1196100170011,7896046300418,    -,    -,BESIVANCE,"0,6 % SUS OFT CT FR PLAS OPC GOT X 5 ML",S1A - ANTIINFECCIOS OFTALMOLÓGICOS,Novo,Regulado,2580,2890,3340,3571,3109,3596,3128,3621,3147,3726,2025,2268,2621,2802,2440,2822,2455,2841,2469,Não,2924,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE BETAISTINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508013110099904,1004310880041,7891317478865,    -,    -,BETINA,8 MG COM CT BL AL PLAS TRANS X 30,N7C - ANTIVERTIGINOSOS,Similar,Regulado,1053,1179,1362,1457,1268,1467,1276,1477,1284,1520,826,925,1069,1143,995,1151,1001,1159,1008,Não,1193,Não,Não,Não,,Negativa,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE BETAXOLOL,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900501172314,1006811110014,7896548114612,    -,    -,BETOPTIC,"5,0 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML",S1E2 - PREPARAÇÕES ANTIGLAUCOMAS E MIÓTICAS TÓPICAS,Novo,Regulado,2018,2018,2293,2431,2431,2446,2446,2461,2461,2523,1584,1584,1799,1908,1908,1919,1919,1931,1931,Não,1980,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BIPERIDENO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506702303111412,1029800960037,7896676408126,    -,    -,CINETOL,2 MG COM CX 8 BL  AL PLAS TRANS X 10,N4A - ANTIPARKINSONIANOS,Similar,Regulado,1865,1865,,,,,,,,,1463,1463,,,,,,,,Não,,Não,Sim,Não,,Positiva,Sim,Tarja Vermelha (*),"","","","","","","","",""
CLORIDRATO DE BROMEXINA,57.507.378/0003-65,EMS S/A,507737101139111,1023508220038,7896004720241,    -,    -,CLORIDRATO DE BROMEXINA,"0,8 MG/ML XPE CT FR VD AMB X 120 ML + COP",R5C - EXPECTORANTES,Genérico,Liberado,714,800,924,989,861,995,866,1002,871,1032,560,628,725,776,676,781,680,786,683,Não,810,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
CLORIDRATO DE BUPIVACAÍNA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710201150411,1029800530229,7896676400502,    -,    -,NEOCAINA,"2,5MG/ML SOL INJ CX 10 EST FA VD TRANS X 20ML",N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Similar,Regulado,19297,19297,21928,23249,23249,23390,23390,23533,23533,24121,15142,15142,17207,18243,18243,18354,18354,18466,18466,Sim,18928,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BUPIVACAÍNA;GLICOSE,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710502150419,1029800770017,7896676400267,    -,    -,NEOCAINA PESADA,"(5,0 + 80,0) MG/ML SOL INJ CX 20  AMP VD TRANS X 4 ML",N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Similar,Regulado,18811,18811,21376,22664,22664,22801,22801,22940,22940,23514,14761,14761,16774,17784,17784,17892,17892,18001,18001,Sim,18451,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BUPIVACAÍNA;HEMITARTARATO DE EPINEFRINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506710301155413,1029803500037,7896676400496,    -,    -,NEOCAÍNA COM VASOCONSTRITOR,"2,5MG/ML + 9,1MCG/ML SOL INJ CX 10 EST FA VD TRANS X 20 ML ",N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Similar,Regulado,21010,21010,23875,25313,25313,25467,25467,25622,25622,26263,16487,16487,18735,19863,19863,19984,19984,20106,20106,Sim,20609,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BUPROPIONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523705701116411,1003301110018,7896094201613,    -,    -,ZETRON,150 MG COM REV LIB PROL CT BL AL PLAS TRANS X 30,N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS,Similar,Regulado,8718,8718,9907,10504,10504,10567,10567,10632,10632,10898,6841,6841,7774,8242,8242,8292,8292,8343,8343,Não,8552,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE BUSPIRONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523700401114412,1003300420013,7896094200227,    -,    -,ANSITEC,5 MG COM CT BL  AL PLAS TRANS X 20,N5C - TRANQUILIZANTES,Similar,Regulado,1932,1932,2195,2328,2328,2342,2342,2356,2356,2415,1516,1516,1722,1827,1827,1838,1838,1849,1849,Não,1895,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE BUTENAFINA,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504611502172316,1558400420022,7898095341039,    -,    -,TEFIN,10 MG/G CREM DERM CT BG AL X 20 G,D1A1 - ANTIFÚNGICOS DERMATOLÓGICOS TÓPICOS,Novo,Liberado,1972,2209,2553,2730,2376,2749,2391,2768,2405,2848,1547,1733,2003,2142,1864,2157,1876,2172,1887,Não,2235,Não,Não,Não,,Negativa,Não,Tarja Venda Livre,"","","","","","","","",""
CLORIDRATO DE CEFEPIMA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070034717,1004101930028,7899498608798,    -,    -,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV/IM  CX 10 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,50083,50083,56913,60341,60341,60707,60707,61077,61077,62604,39300,39300,44660,47350,47350,47637,47637,47927,47927,Sim,49125,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE CICLOBENZAPRINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508021802111119,1004309450010,7891317433673,    -,    -,CLORIDRATO DE CICLOBENZAPRINA,5 MG COM REV CT BL AL PLAS TRANS X 30 ,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,Genérico,Regulado,1792,2007,2319,2480,2159,2497,2172,2515,2185,2588,1406,1575,1820,1946,1694,1959,1704,1974,1715,Não,2031,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE CICLOBENZAPRINA;CAFEÍNA ANIDRA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501605001111313,1011806110016,7896637024822,    -,    -,MIOSAN CAF,5 MG + 30 MG COM REV CT BL AL PLAS TRANS X 4,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,Novo,Regulado,354,396,458,489,426,493,429,496,431,511,278,311,359,384,334,387,337,389,338,Não,401,Não,Não,Não,,Negativa,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE CICLOBENZAPRINA;LISINATO DE CLONIXINA,57.507.378/0003-65,EMS S/A,541816050015206,1023511260029,7896004756875,    -,    -,CLONIXINATO DE LISINA + CLORIDRATO DE CICLOBENZAPRIN,"(125,0 + 5,0) MG COM REV CT BL AL PLAS OPC X 15",M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,Genérico,Regulado,1652,1850,2138,2286,1990,2302,2002,2318,2014,2385,1296,1452,1678,1794,1562,1806,1571,1819,1580,Não,1871,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE CICLOPENTOLATO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501001401173315,1014701310011,7897316801277,    -,    -,CICLOPLÉGICO,10 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML,S1F - MIDRIÁTICOS E CICLOPLÉGICOS,Similar,Regulado,603,675,780,834,726,840,731,846,735,870,473,530,612,654,570,659,574,664,577,Não,683,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE CIMETIDINA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510607602111410,1010701630011,7896015511333,    -,    -,TAGAMET,200 MG COM REV CT BL AL PLAS TRANS X 10,A2B1 - ANTAGONISTAS RECEPTORES H2,Similar,Regulado,1390,1390,1580,1675,1675,1685,1685,1695,1695,1738,1091,1091,1240,1314,1314,1322,1322,1330,1330,Não,1364,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE CINACALCETE,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511518030066506,1004705890013,7897595630988,    -,    -,CLORIDRATO DE CINACALCETE,30 MG COM REV CT BL AL PLAS TRANS X 30,H4F - PRODUTOS ANTIPARATIREOIDEANOS,Genérico,Regulado,37214,41680,48165,51505,44836,51865,45108,52230,45383,53742,29202,32706,37795,40416,35183,40698,35396,40985,35612,Não,42171,Sim,Não,Não,,Negativa,Não,Tarja Vermelha(*),"","","","","","","","",""
CLORIDRATO DE CIPROEPTADINA,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506312020026503,1156000700034,7908020500735,    -,    -,COBAPETIT,"0,8 MG/ML XPE CT FR VD AMB X 100 ML + 4 MG/G ENV AL X 5 G + COP",A15A - OREXÍGENOS,Similar,Regulado,1362,1526,1763,1886,1642,1899,1652,1912,1662,1968,1069,1197,1383,1480,1288,1490,1296,1500,1304,Não,1544,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
CLORIDRATO DE CIPROEPTADINA;CLORIDRATO DE TIAMINA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;NIACINAMIDA,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504921020012207,1003800380029,7898100244485,    -,    -,PETIVIT -BC,"4,00 + 0,60 + 0,75 + 0,670 + 6,67 + 21,67 MG/ML XPE CT FR PLAS PET AMB X 240 ML",A15A - OREXÍGENOS,Similar,Liberado,1229,1376,1590,1700,1480,1712,1489,1724,1498,1774,964,1080,1248,1334,1161,1343,1168,1353,1175,Não,1392,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
CLORIDRATO DE CIPROEPTADINA;COBAMAMIDA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500217080037503,1055303440018,7891158102950,    -,    -,COBAVITAL,1  MG + 4  MG COM CT STR AL X 30,A15A - OREXÍGENOS,Novo,Liberado,1756,1967,2273,2431,2116,2448,2129,2465,2142,2536,1378,1544,1784,1908,1660,1921,1671,1934,1681,Não,1990,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
CLORIDRATO DE CIPROEPTADINA;NICOTINAMIDA;CLORIDRATO DE TIAMINA;MONOFOSFATO DE RIBOFLAVINA SÓDICA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504902301130411,1003800380010,7898100240432,    -,    -,PETIVIT -BC,"4,00 + 0,60 + 0,75 + 0,670+ 6,67 +21,67 MG/ML XPE CT FR VD AMB X 240 ML",A15A - OREXÍGENOS,Similar,Regulado,1974,2211,2555,2732,2378,2751,2393,2771,2407,2851,1549,1735,2005,2144,1866,2159,1878,2174,1889,Não,2237,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre/Sem Tarja (*),"","","","","","","","",""
